,artist,type,country,id,followers,imgUrl,genres,popularity
8236,C4 Pedro,person,,5IccCciXwIjKPROLcD1Qao,207180,https://i.scdn.co/image/ab6761610000e5eb21fad4d165a2758453ac069e,"kizomba,musica angolana,portuguese pop,",49
8237,Peja,person,PL,5IQZA1dxUd3Qv73mHNln59,187785,https://i.scdn.co/image/ab6761610000e5eb20de27a4b48358a095afdc50,"polish alternative rap,polish hip hop,",52
8238,Puls,group,DK,6UL7BodGc5iVmQGlMwHR0g,595256,https://i.scdn.co/image/ab6761610000e5eb7b0863ab8d24bc7c167e572a,"dub,reggae,roots reggae,uk reggae,",58
8239,Porter Robinson,person,US,3dz0NnIZhtKKeXZxLOxCam,1059254,https://i.scdn.co/image/ab6761610000e5eb6ccb967cecc6f1da90fe355e,"complextro,edm,future bass,pop dance,progressive electro house,",65
8240,Diddi Trix,,,52h6A1y99QgoEf5FzKEHs1,158256,https://i.scdn.co/image/ab6761610000e5ebd8dfa79ca228195805879970,"drill francais,french hip hop,pop urbaine,rap francais,",48
8241,The Starlings,group,GB,1eWulCragj6PpUGCgMt6M8,12600,https://i.scdn.co/image/ab6761610000e5eb7b685636f9e221abb7dd47db,"belgian pop,",42
8242,Enry-K,person,ES,05trgdoIUvlwqNLEPHTdoI,10786,https://i.scdn.co/image/ab6761610000e5eb02f26efa891cf71c1c4b8683,"urbano espanol,",48
8243,Koomz,person,GB,4I53vdZJP1OzinYf615C62,58955,https://i.scdn.co/image/ab6761610000e5ebb3fb41be2c5880d20333c7f7,"uk desi rap,uk hip hop,",53
8244,Watermät,person,,4a9sClW4YpYQE5jUMAWx5W,58734,https://i.scdn.co/image/ab6761610000e5ebbe112e20caa1687a1e6acfda,"progressive house,tropical house,",44
8245,Leo王,person,TW,5Zn94mKQQYVZUvhiIXeXdP,81816,https://i.scdn.co/image/ab6761610000e5eb5370d10f301994c3ed9d80b8,"taiwan hip hop,taiwan pop,taiwan singer-songwriter,",39
8246,Francisca Valenzuela,person,CL,2piHiUbXwUNNIvYyIOIUKt,384503,https://i.scdn.co/image/ab6761610000e5eb4e3ba45ab89560a4cfa32bc9,"chilean indie,chilean rock,latin rock,pop chileno,pop electronico,",56
8247,Azarra Band,group,,5096722poThuBwBW5jgY2i,10293,https://i.scdn.co/image/ab67616d0000b273e75a91c5642c422b4931354f,"malaysian pop,",34
8248,Marpo,person,CZ,2cusgVvXlY17oMoDAbcdqD,87733,https://i.scdn.co/image/ab6761610000e5eb2969d5d4c7548ae1341481a0,"czech hip hop,czsk hip hop,",47
8249,Mueka,person,PR,3dRWpmlPfc18U3up8MYCKX,82889,https://i.scdn.co/image/ab67616d0000b2735cfc141d6a25b9edd2111a04,,55
8250,Jinny Ng,person,HK,03OP7wr6EAMFBmDiaRsdbf,70330,https://i.scdn.co/image/ab6761610000e5eb2f8d7892fdecda9edbaac063,"cantopop,",43
8251,Jota Quest,group,BR,5re6NsyXzHg6uvNimzQ3F6,2125892,https://i.scdn.co/image/ab6761610000e5ebb317e0abde681bdbdc90c488,"axe,brazilian rock,mpb,pop rock brasileiro,rock mineiro,rock nacional brasileiro,",65
8252,Avian Grays,,,6StTE02qIwbcJjGEDSZgg5,5500,https://i.scdn.co/image/ab6761610000e5ebf396afd4253838d03a2914df,,47
8253,the bird and the bee,group,US,65XA3lk0aG9XejO8y37jjD,167851,https://i.scdn.co/image/ab6761610000e5ebbfff78b1aa9898a2effef67f,"indie pop,la indie,",46
8254,Fang Wu,person,CN,2GluLnUHh09d9sUXwpoMJu,45368,https://i.scdn.co/image/ab6761610000e5eb48295d7442fdb362cbfe23a5,"mandopop,taiwan pop,taiwan singer-songwriter,",37
8255,Terence Lam,person,CA,3tvtGR8HzMHDbkLeZrFiBI,156218,https://i.scdn.co/image/ab6761610000e5eb084d3b40efaaa02e52a881ff,"cantopop,",57
8256,Stephen Puth,person,US,6B72wjgAkhvxTVCL6xS6mC,210351,https://i.scdn.co/image/ab6761610000e5eb7d55fda55d72debf8dc5e759,,48
8257,Doeboy,,,71ck6sq9Cg5R8ZSz093qRP,8,https://i.scdn.co/image/ab67616d0000b273eb7a26a4b072892d3b7d3c81,,7
8258,Tanya Stephens,person,JM,0vL0HKEtNHGobKmDNarMFQ,155292,https://i.scdn.co/image/ab6772690000c46c01f5e45ce9de2c3307ad3b1b,"dancehall,dancehall queen,lovers rock,modern reggae,old school dancehall,reggae fusion,",46
8259,BATE,,,75fIuwXxhZ1atNzWLMrgF0,67637,https://i.scdn.co/image/ab6761610000e5eb73faac0084f61517186d6de9,"orchestral soundtrack,soundtrack,video game music,",55
8260,Roksana Węgiel,person,PL,1SgvZBHUHMBqZe7PieKJxG,158860,https://i.scdn.co/image/ab6761610000e5ebce79299995f0dc8ba7c7f75d,"polish pop,",39
8261,Mimi Werner,person,SE,3HYuDfDJCzvtSVHWpNndWD,2214,https://i.scdn.co/image/ab6761610000e5eb4b526c99b22421c96133f4ee,"swedish country,",15
8262,Joe Dwet File,person,,26zgIfFyTCImkHAp5gwKW8,433747,https://i.scdn.co/image/ab6761610000e5ebcfbca50353032fb2d6fef547,"francoton,pop urbaine,",60
8263,Randy,group,SE,1pTuR132U5b4Rizal2Pr7m,1544331,https://i.scdn.co/image/ab6761610000e5ebf6b3b5ecaee21bec54284cdc,"country,country gospel,country road,country rock,",66
8264,Hjálmar,group,IS,0k5uXmuyASwY2Cwi5TQki4,47,NaN,,44
8265,Leslie Cheung,person,HK,2g0QLUYku8AuPVK2udRV7i,516149,https://i.scdn.co/image/ab6761610000e5eb3ebeeb1d374e98691b10620f,"c-pop,cantopop,classic cantopop,",56
8266,Nastia,person,,3yQQWvFCAI4upNGhuUIVSS,85,https://i.scdn.co/image/ab6761610000e5eb1918d83911b5c6ae0aba1c1c,,29
8267,Ruger Hauer,group,FI,2SlRbL2FCBYdEmsAW35b4m,19959,https://i.scdn.co/image/ab6761610000e5ebee41da715dd684e4f627a3a2,"finnish hip hop,finnish indie,suomirap,",35
8268,Laton,person,PT,3HalropDhTPDw4BYQWKVMd,156,https://i.scdn.co/image/ab67616d0000b273d922833c60e1cf19f13d12b8,,21
8269,Nagita,person,ID,63PbdDwARA6MC2VixhGkD0,66481,https://i.scdn.co/image/ab67616d0000b27309591a7c2d53c707eea8948f,"indonesian pop,",41
8270,Hiro,person,JP,0Riv2KnFcLZA3JSVryRg4y,425910,https://i.scdn.co/image/ab6761610000e5ebd72c87048c52a12fac25590a,"anime score,japanese soundtrack,",68
8271,Ajey Nagar (CarryMinati),person,IN,1VwNP7mP5DmTsdJqQuW0nT,320351,https://i.scdn.co/image/ab6761610000e5eb11d0343dc3387fc183dab2e0,"hindi hip hop,",50
8272,Manny Flaco,,,2vduakOON9BipyWkPSBo4S,3268,https://i.scdn.co/image/ab6761610000e5eb05117e789923174d406e27da,,63
8273,Sass Henno,person,EE,2QEjAULvTmuy5eQBHcIpzf,39,NaN,,25
8274,Jeangu Macrooy,person,NL,3t9HafA5eFHM992s4GZ0Gr,28011,https://i.scdn.co/image/ab6761610000e5eb6f5e2195a0f97146f552e376,"dutch pop,",39
8275,Dzsúdló,,,3PMRY3PR5xAe5UpRfPPuaG,71884,https://i.scdn.co/image/ab6761610000e5eb8bd25d94f453f876989532a3,"hungarian hip hop,hungarian pop,magyar trap,",55
8276,Phùng Khánh Linh,,,23Gbd21nBxC1kCtcG2Cd0C,83298,https://i.scdn.co/image/ab6761610000e5ebb26103859d16364372c30580,"v-pop,",44
8277,Peck Palitchoke,person,US,5rbWOWw5jmpe6zbIHCzMpm,128954,https://i.scdn.co/image/ab6761610000e5eb70fb216be4ff701b87851ab4,"thai pop,",41
8278,Rino Gaetano,person,IT,5RRPSRJpISAWEPOeSfYuhV,704945,https://i.scdn.co/image/ab6761610000e5eb859f84d00a98878969447347,"canzone d'autore,classic italian pop,italian adult pop,",58
8279,Man Keedal,group,GB,07awnhGXYkpxqcPQal0dh8,35,NaN,,28
8280,Davay,group,CZ,3E51y3Ff8aURnyOkaxDXKS,22750,https://i.scdn.co/image/ab6761610000e5ebc3aef2c6d6abda05c47183aa,"hard bass,",44
8281,James Watss,person,NL,0V7K6XaL7jDs1oUWUvgXNs,9537,https://i.scdn.co/image/ab6761610000e5eb0c2436725c5ca9a49dde5de2,"dutch pop,dutch rap pop,",28
8282,Theia,person,NZ,29ADVF7I6YQyY2SGUlzCcB,6068,https://i.scdn.co/image/ab6761610000e5eb2e5bbf68c5d4e0553796b1a1,"nz pop,",27
8283,Erik Lundin,person,SE,0dCSPVQ30JS4cRaCTtbEmp,18655,https://i.scdn.co/image/ab6761610000e5eb752684883a320189711b1d73,"swedish hip hop,swedish trap pop,",40
8284,Alex Fong,person,CN,709dAbhS0sezd0SUJImqg4,38914,https://i.scdn.co/image/ab67616d0000b27331b786c1ad378f4eac9991e7,"c-pop,cantopop,",44
8285,The Yers,group,US,7avbd4MMu89B9ueC3udvbf,61831,https://i.scdn.co/image/ab6761610000e5ebd8ef2610a0a92aa0ed62dde8,"thai indie,thai pop,thai rock,",38
8286,Junior Lord,group,HU,6rFkZxhheU9l1nODgZm4SP,109924,https://i.scdn.co/image/ab6761610000e5ebd9e28f58141d1853eac7ab5a,"r&b brasileiro,",44
8287,Natalia Szroeder,person,PL,2DhJauCHKgwVilZO9A8og3,159681,https://i.scdn.co/image/ab6761610000e5ebe0640fe824b425bad12cdbb6,"polish alternative,polish pop,",52
8288,Mad Clown,person,KR,0dX6tgZKWpamoFHFuXFhwd,118605,https://i.scdn.co/image/ab67616d0000b27396d6835bdd87126f00b4b4e2,"k-rap,",52
8289,Kim Na Young,person,KR,4dvmLXorXADxVq8EcySEWk,181839,https://i.scdn.co/image/ab67616d0000b27396d6835bdd87126f00b4b4e2,"k-pop,korean pop,",55
8290,Live Lounge Allstars,,,1FN3UEetBb2iNjcNAmrv4r,5495,https://i.scdn.co/image/ab6761610000e5eb19e468555de32eeb4d0d7070,"acoustic cover,",35
8291,Felix,person,DE,4bL2B6hmLlMWnUEZnorEtG,1271224,https://i.scdn.co/image/ab6761610000e5eb9d02fd5cffa406d9821a2818,"dance pop,edm,electro house,german dance,pop,pop dance,tropical house,",78
8292,Winston Surfshirt,group,AU,61HS7DjYDQIkKSeGvpqmJh,97064,https://i.scdn.co/image/ab6761610000e5eba4d0c99843510066e9e881fb,"indie soul,",54
8293,El Cuarteto De Nos,group,UY,13JJKrUewC1CJYmIDXQNoH,1093597,https://i.scdn.co/image/ab6761610000e5ebbcd488bfdbb27e3cf2084e47,"argentine rock,latin alternative,latin rock,rock en espanol,rock uruguayo,",69
8294,Marilia Monzón,person,ES,3bch3EeUoah5rDRni92X93,17115,https://i.scdn.co/image/ab6761610000e5eb27cf62f6092aad8b7338d6cd,"latin talent show,latin viral pop,",29
8295,Dimmi,,,7HIN94LvSDgxN5RoOLi3E5,36223,https://i.scdn.co/image/ab6761610000e5eb770117aaf85e6313e0e06560,"deep tropical house,tropical house,",45
8296,Taze,,,3oBP043HsDnok9FzprqPce,7344,https://i.scdn.co/image/ab6761610000e5eb9f217c2661724b9450e38b99,"modern alternative rock,neo-psychedelic,south african alternative,",32
8297,Ms Banks,person,,4imxqng3RrOBmykL2DhIJC,188760,https://i.scdn.co/image/ab6761610000e5eb10328058da5397f753200941,"uk hip hop,",58
8298,Ugo Borghetti,,,3i6za4KlTDNe8mducqnwJi,16401,https://i.scdn.co/image/ab6761610000e5eb429576200e0da4a61f111be3,"emo rap italiano,",44
8299,Antti Railio,person,FI,0XgaMJ0W8fkyyo9NXDu3sT,5332,https://i.scdn.co/image/ab67616d0000b273f67706cf37d70b3a695387c6,"finnish idol pop,iskelma,",36
8300,Lester Williams,person,US,3V3FoZVMIZkrolqMyZk2Fd,15642,https://i.scdn.co/image/ab6761610000e5ebc4a74e0e1b4ea97000ac02a0,"belgian edm,",24
8301,Yam Refaeli,group,US,0VWxCUPjwYC1haUA2kCrp6,44055,https://i.scdn.co/image/ab6761610000e5ebb0912a477afbe712f6255159,"israeli pop,",37
8302,Amit Gupta,person,,6XtaRFNn99x6GUHiu0q4k1,557,https://i.scdn.co/image/ab6761610000e5ebce29a1e75ffa65bca60edeae,,37
8303,Slaydro,person,,170nDXTLNnkC0TZyd0R496,87,https://i.scdn.co/image/ab67616d0000b2730a4ff8f2c67b42ada71aa721,,29
8304,Kajo,group,FI,1UtjNYOT0U3YDs1XLBoSxG,1079,https://i.scdn.co/image/ab6761610000e5eb2b1e53e56ebb74db94ee444e,,31
8305,Juice,group,JP,4MCBfE4596Uoi2O4DtmEMz,28295020,https://i.scdn.co/image/ab6761610000e5eb1908e1a8b79abf71d5598944,"chicago rap,melodic rap,",91
8306,Tracy McGrady,,JP,1hIultpwJP5CAVoT4qeNGH,3404,https://i.scdn.co/image/ab6761610000e5eb1e7054806f479bbc52db449a,"mambo chileno,",35
8307,Kamil Bednarek,person,PL,5UUsQ38YTugFjdLX82IDAE,166004,https://i.scdn.co/image/ab6761610000e5eb6d2dad621890e4e41b1fc6ce,"polish pop,polish reggae,",47
8308,SNOOPO,,,0HVSM2BqVhQqxDa8L8in6t,3935,https://i.scdn.co/image/ab6761610000e5eb57e25952ac44b7c33fabbdaa,"thai pop rap,",32
8309,HANXPOND,,,0iFwRo7pOWhCYtFjGglmfa,22587,https://i.scdn.co/image/ab6761610000e5ebbafbf9d1611461eb79a34d03,"thai pop rap,",38
8310,2T FLOW,person,FR,1ymRpNPlxJRVT00kmJk8AZ,203505,https://i.scdn.co/image/ab67616d0000b273ec865959c711995d970763ed,"thai pop rap,",47
8311,Quanta,,GB,2kuTXO1yl1horIqmc9JQnI,949,https://i.scdn.co/image/ab6761610000e5eb5ebf84c73c927c46b1d6b32c,,35
8312,CJaye,,,1k6UJX3fICUUXA9W5vnnDD,11830,https://i.scdn.co/image/ab6761610000e5ebcfeff5702fdc2c40c12886d8,"dutch drill,",28
8313,Rebecka Karlsson,person,SE,5eQqcPbXB8aHmLxOTBT6Sc,3649,https://i.scdn.co/image/ab67616d0000b273079dae47315a27669da9315d,"swedish pop,",15
8314,Adouli,,,0D7xlQDyHU73mrurTwo0Fu,12397,https://i.scdn.co/image/ab6761610000e5eb4d04446349230f394b47600e,"swedish trap pop,",33
8315,Day,person,US,7oPftvlwr6VrsViSDV7fJY,13875964,https://i.scdn.co/image/ab6761610000e5eb047eac333eff0be4abe32cbf,"permanent wave,punk,",81
